"country" "code" "year" "CP_modern"
"322" "China, Taiwan Province of China" 158 "2008" -0.0200899034586233
"323" "China, Taiwan Province of China" 158 "2013" -0.0052675880727634
"324" "China, Taiwan Province of China" 158 "2018" -0.0163786619818815
"325" "Colombia" 170 "1978" 0.0460659409369567
"326" "Colombia" 170 "1983" 0.0589781874060237
"327" "Colombia" 170 "1988" 0.0143287856487646
"328" "Colombia" 170 "1993" -0.0164840751757011
"329" "Colombia" 170 "1998" 0.00516807059252422
"330" "Colombia" 170 "2003" 0.012954285071333
"331" "Colombia" 170 "2008" 0.0160897896659803
"332" "Colombia" 170 "2013" 0.016129127819245
"333" "Colombia" 170 "2018" 0.0095767996254319
"334" "Comoros" 174 "1978" -0.000728341304782474
"335" "Comoros" 174 "1983" -0.00118842131168667
"336" "Comoros" 174 "1988" -0.00132510233484512
"337" "Comoros" 174 "1993" -0.00097186921808326
"338" "Comoros" 174 "1998" 0.00106683328126297
"339" "Comoros" 174 "2003" -0.0136166659038708
"340" "Comoros" 174 "2008" -0.0461463299817288
"341" "Comoros" 174 "2013" -0.0528378302497892
"342" "Comoros" 174 "2018" -0.0555066659475388
"343" "Congo" 178 "1978" -0.00226049139249827
"344" "Congo" 178 "1983" -0.00351395140687649
"345" "Congo" 178 "1988" -0.00518549986116376
"346" "Congo" 178 "1993" -0.00570255494524421
"347" "Congo" 178 "1998" -0.00461978774276361
"348" "Congo" 178 "2003" -0.00408756856893158
"349" "Congo" 178 "2008" 0.000319534125615709
"350" "Congo" 178 "2013" -0.00288050255229128
"351" "Congo" 178 "2018" -0.0196808348993726
"352" "Costa Rica" 188 "1978" 0.0259547989661661
"353" "Costa Rica" 188 "1983" 0.0288811340450159
"354" "Costa Rica" 188 "1988" 0.0313930307345334
"355" "Costa Rica" 188 "1993" 0.0397052044964397
"356" "Costa Rica" 188 "1998" 0.037104432007309
"357" "Costa Rica" 188 "2003" 0.0278804248880595
"358" "Costa Rica" 188 "2008" 0.0181548822330329
"359" "Costa Rica" 188 "2013" -0.00310955107327826
"360" "Costa Rica" 188 "2018" -0.0269468740582474
"361" "Cote d'Ivoire" 384 "1978" -0.00105615988654809
"362" "Cote d'Ivoire" 384 "1983" -0.00144651444693106
"363" "Cote d'Ivoire" 384 "1988" -0.000912591919400059
"364" "Cote d'Ivoire" 384 "1993" 0.00125654977716176
"365" "Cote d'Ivoire" 384 "1998" 0.00433131402682259
"366" "Cote d'Ivoire" 384 "2003" -0.00276392407270269
"367" "Cote d'Ivoire" 384 "2008" -0.0132454189948091
"368" "Cote d'Ivoire" 384 "2013" -0.0180752916146913
"369" "Cote d'Ivoire" 384 "2018" -0.00377118513239436
"370" "Cuba" 192 "1978" 0.0117179689879869
"371" "Cuba" 192 "1983" 0.00917699843076614
"372" "Cuba" 192 "1988" 0.00632547128790706
"373" "Cuba" 192 "1993" 0.00718658128263561
"374" "Cuba" 192 "1998" 0.014626681356886
"375" "Cuba" 192 "2003" 0.0113167198966827
"376" "Cuba" 192 "2008" 0.00471525808475415
"377" "Cuba" 192 "2013" -0.0036633952178734
"378" "Cuba" 192 "2018" -0.0319906646297605
"379" "Czechia" 203 "1978" 0.006073364289162
"380" "Czechia" 203 "1983" 0.00938422519229981
"381" "Czechia" 203 "1988" 0.0112491133230901
"382" "Czechia" 203 "1993" 0.00796964206222373
"383" "Czechia" 203 "1998" 0.0321873536741399
"384" "Czechia" 203 "2003" 0.0295842628989259
"385" "Czechia" 203 "2008" 0.0331648294315886
"386" "Czechia" 203 "2013" 0.00492732337374446
"387" "Czechia" 203 "2018" -0.00838468310717422
"388" "Democratic People's Republic of Korea" 408 "1978" -0.0229879031636065
"389" "Democratic People's Republic of Korea" 408 "1983" -0.0180600804451553
"390" "Democratic People's Republic of Korea" 408 "1988" -0.00790214054048743
"391" "Democratic People's Republic of Korea" 408 "1993" -0.0023392322141203
"392" "Democratic People's Republic of Korea" 408 "1998" -0.00525918939591052
"393" "Democratic People's Republic of Korea" 408 "2003" -0.00159735660868365
"394" "Democratic People's Republic of Korea" 408 "2008" 0.0254946938163608
"395" "Democratic People's Republic of Korea" 408 "2013" 0.07434016119039
"396" "Democratic People's Republic of Korea" 408 "2018" 0.0306468802790717
"397" "Democratic Republic of the Congo" 180 "1978" 0.0018444825321135
"398" "Democratic Republic of the Congo" 180 "1983" 0.000513402012416564
"399" "Democratic Republic of the Congo" 180 "1988" -0.0115256768397032
"400" "Democratic Republic of the Congo" 180 "1993" -0.0128270214917556
"401" "Democratic Republic of the Congo" 180 "1998" -0.00344100291384828
"402" "Democratic Republic of the Congo" 180 "2003" -0.00884504013336176
"403" "Democratic Republic of the Congo" 180 "2008" -0.0256009123224884
"404" "Democratic Republic of the Congo" 180 "2013" -0.0156677645709218
"405" "Democratic Republic of the Congo" 180 "2018" 0.0130416609923238
"406" "Denmark" 208 "1978" 0.0271484476218363
"407" "Denmark" 208 "1983" 0.0295179277037193
"408" "Denmark" 208 "1988" 0.0271896297379306
"409" "Denmark" 208 "1993" 0.00656168595944062
"410" "Denmark" 208 "1998" -0.00283536096062598
"411" "Denmark" 208 "2003" -0.00100544127678137
"412" "Denmark" 208 "2008" 0.000357643970941623
"413" "Denmark" 208 "2013" 0.000795941808407252
"414" "Denmark" 208 "2018" 0.00171022232684293
"415" "Djibouti" 262 "1978" -0.00084779474485414
"416" "Djibouti" 262 "1983" -0.00156892848037411
"417" "Djibouti" 262 "1988" -0.00201214566367609
"418" "Djibouti" 262 "1993" -0.00330604896151667
"419" "Djibouti" 262 "1998" -0.00664453468740953
"420" "Djibouti" 262 "2003" -0.00280811303814829
"421" "Djibouti" 262 "2008" 0.0156586487774312
"422" "Djibouti" 262 "2013" 0.00449320351690516
"423" "Djibouti" 262 "2018" 0.000117067241153956
"424" "Dominica" 212 "1978" -0.00300264765593544
"425" "Dominica" 212 "1983" -0.0136004121279539
"426" "Dominica" 212 "1988" -0.0276467344650498
"427" "Dominica" 212 "1993" -0.010269720066092
"428" "Dominica" 212 "1998" -0.00365789952815743
"429" "Dominica" 212 "2003" -0.000776713791099226
"430" "Dominica" 212 "2008" -0.000673396915553237
"431" "Dominica" 212 "2013" 0.000644522948825221
"432" "Dominica" 212 "2018" 0.000914203303685857
"433" "Dominican Republic" 214 "1978" 0.0118477124504424
"434" "Dominican Republic" 214 "1983" 0.0343288677284853
"435" "Dominican Republic" 214 "1988" 0.0468215556469007
"436" "Dominican Republic" 214 "1993" 0.0368539640063187
"437" "Dominican Republic" 214 "1998" 0.0449347708076216
"438" "Dominican Republic" 214 "2003" 0.0186429582552828
"439" "Dominican Republic" 214 "2008" 0.00531690741778701
"440" "Dominican Republic" 214 "2013" -0.00296822970704835
"441" "Dominican Republic" 214 "2018" -0.0148855829962778
"442" "Ecuador" 218 "1978" -0.00217866432698671
"443" "Ecuador" 218 "1983" -0.0038431130734837
"444" "Ecuador" 218 "1988" -0.00169267213023616
"445" "Ecuador" 218 "1993" 0.0089551225457305
"446" "Ecuador" 218 "1998" 0.0120864862671284
"447" "Ecuador" 218 "2003" 0.0180435431857906
"448" "Ecuador" 218 "2008" 0.0230461304222376
"449" "Ecuador" 218 "2013" 0.0145730278751346
