"code" "year" "gdp"
"381" 180 1988 NA
"382" 180 1993 NA
"383" 180 1998 NA
"384" 180 2003 NA
"385" 180 2008 NA
"386" 180 2013 -0.0362165362452399
"387" 180 2018 0.0362165362452398
"388" 208 1978 NA
"389" 208 1983 NA
"390" 208 1988 NA
"391" 208 1993 NA
"392" 208 1998 NA
"393" 208 2003 NA
"394" 208 2008 NA
"395" 208 2013 NA
"396" 208 2018 NA
"397" 262 1978 -0.247489024068172
"398" 262 1983 -0.280080322597898
"399" 262 1988 -0.222693954099626
"400" 262 1993 -0.152300356339139
"401" 262 1998 0.00655321138673683
"402" 262 2003 -0.0406305150824251
"403" 262 2008 0.196832678799184
"404" 262 2013 0.212461373084532
"405" 262 2018 0.527346908916807
"406" 214 1978 0.0178195398021256
"407" 214 1983 -0.0465455745139524
"408" 214 1988 -0.151510680973313
"409" 214 1993 -0.140368214398081
"410" 214 1998 0.140419765555009
"411" 214 2003 0.0217693238493216
"412" 214 2008 0.0560829796029252
"413" 214 2013 0.017659033643177
"414" 214 2018 0.0846738274327871
"415" 218 1978 0.239928361098842
"416" 218 1983 -0.0758263371275283
"417" 218 1988 -0.243298011835992
"418" 218 1993 -0.158341269843689
"419" 218 1998 -0.162833658169046
"420" 218 2003 0.0145116610645444
"421" 218 2008 0.287717738989319
"422" 218 2013 0.155287389159798
"423" 218 2018 -0.0571458733362476
"424" 818 1978 -0.160324282693389
"425" 818 1983 -0.118977207156257
"426" 818 1988 -0.0803437485341999
"427" 818 1993 0.152902133166751
"428" 818 1998 0.368688363035361
"429" 818 2003 -0.148534748773095
"430" 818 2008 0.0184963438463507
"431" 818 2013 0.257228178258688
"432" 818 2018 -0.28913503115021
"433" 222 1978 -0.0772934374026478
"434" 222 1983 -0.463099334776767
"435" 222 1988 -0.182089626860277
"436" 222 1993 -0.0783524834284224
"437" 222 1998 0.269823062340128
"438" 222 2003 0.13465739687573
"439" 222 2008 0.281334833579301
"440" 222 2013 0.27274722434923
"441" 222 2018 -0.157727634676275
"442" 226 1978 NA
"443" 226 1983 NA
"444" 226 1988 NA
"445" 226 1993 NA
"446" 226 1998 0.397408107129285
"447" 226 2003 1.06109937893183
